2017-05-13,东方金钰重大事项复牌公告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_15.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_15.pdf" width="800" height="600" />
2017-05-13,东方金钰关于对江苏东方金钰珠宝有限公司增资并实施珠宝营销网络建设项目的公告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_5.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_5.pdf" width="800" height="600" />
2017-05-13,东方金钰2017年度非公开发行股票募集资金运用可行性分析报告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_9.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_9.pdf" width="800" height="600" />
2017-05-13,东方金钰非公开发行股票预案,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_8.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_8.pdf" width="800" height="600" />
2017-05-13,东方金钰关于最近五年接受监管措施或处罚及整改情况的公告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_11.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_11.pdf" width="800" height="600" />
2017-05-13,东方金钰关于对深圳市东方金钰珠宝实业有限公司增资并建设信息化珠宝物流中心项目的公告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_7.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_7.pdf" width="800" height="600" />
2017-05-13,东方金钰关于非公开发行股票摊薄即期回报及填补措施的公告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_12.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_12.pdf" width="800" height="600" />
2017-05-13,东方金钰第八届监事会第十二次会议决议公告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_4.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_4.pdf" width="800" height="600" />
2017-05-13,东方金钰第八届董事会第四十四次会议决议公告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_1.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_1.pdf" width="800" height="600" />
2017-05-13,东方金钰：前次募集资金使用情况审核报告,http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_10.pdf,<embed src="http://static.sse.com.cn//disclosure/listedinfo/announcement/c/2017-05-13/600086_20170513_10.pdf" width="800" height="600" />
